Store,Dept,IsHoliday,Type,Size,Weekly_Sales,Date
39,78,0,1,167189.39407749427,177784.61776513915,2023-01-01
29,26,1,2,147567.38242147744,82432.34164771334,2023-01-08
15,62,0,1,151639.8497705793,146793.79333724358,2023-01-15
43,4,0,3,112075.23326499652,31475.866687133337,2023-01-22
8,89,1,3,138479.96428971164,207291.56372540165,2023-01-29
21,42,0,1,103788.34278658478,102345.70326526853,2023-02-05
39,89,0,3,194509.92055623935,208448.76827680785,2023-02-12
19,18,0,1,201762.46673618763,59366.24413411622,2023-02-19
23,40,0,2,57690.60688809531,95730.53738002277,2023-02-26
11,72,0,1,103524.45699037949,160570.57396161728,2023-03-05
11,39,0,2,75173.53724549605,97610.73113508605,2023-03-12
24,14,0,3,117498.80327965508,52723.608955331096,2023-03-19
36,32,0,2,145828.10151048197,91236.4894291037,2023-03-26
40,51,0,3,77517.7390150735,122103.91106595568,2023-04-02
24,38,0,1,103907.00934373433,95206.52895085847,2023-04-09
3,97,0,3,99802.13139592507,220968.33278645284,2023-04-16
22,23,1,1,160363.36646994718,76561.06781434295,2023-04-23
2,63,0,1,153467.21685181253,145864.5659962227,2023-04-30
24,15,0,2,113913.12233313733,52678.515022097265,2023-05-07
44,97,0,2,158841.0436069699,219081.57289474577,2023-05-14
30,25,0,2,122665.99577063673,72524.26325163842,2023-05-21
38,17,0,2,136417.24448369734,56623.17182170625,2023-05-28
2,97,1,3,233672.60451492685,230555.58100474643,2023-06-04
21,66,0,3,217023.05258951738,156786.6604590365,2023-06-11
33,78,0,3,85020.93815362011,180615.18588780626,2023-06-18
12,53,0,1,191486.62089395872,128826.68685202187,2023-06-25
22,51,0,3,190569.8277245796,130083.54159267245,2023-07-02
44,39,0,3,92586.83556236909,105723.06616955757,2023-07-09
25,51,0,3,190938.88218774303,129197.07607180603,2023-07-16
27,70,0,2,226896.59592062765,166538.6778179013,2023-07-23
42,6,0,3,93872.7596877793,39676.744588798436,2023-07-30
28,67,0,1,104124.85894928682,150542.12033776462,2023-08-06
16,7,0,2,200883.0733421751,38943.923101235676,2023-08-13
15,51,0,1,163574.7655412824,122884.68743020241,2023-08-20
44,72,0,3,177573.81376197617,173560.15965235792,2023-08-27
3,42,0,2,167029.46082002483,108767.07805570787,2023-09-03
37,64,0,1,169534.7960464072,146891.48910801584,2023-09-10
7,15,0,3,83676.39358444585,52119.48255296791,2023-09-17
21,29,0,1,202365.8853310724,79903.5854001292,2023-09-24
9,33,0,1,208479.49962138868,89269.53289062335,2023-10-01
39,94,0,1,138530.46279659861,208778.2104570896,2023-10-08
18,27,0,3,147826.15250930688,81227.71913724129,2023-10-15
4,36,0,3,73444.6248722139,91120.2077355139,2023-10-22
25,29,0,1,175712.73780089174,81913.51886516629,2023-10-29
14,38,0,2,178602.8720857072,101435.28129627861,2023-11-05
9,57,0,2,146890.44915003446,140113.58655268955,2023-11-12
26,97,0,3,206217.66799352513,224199.28005425757,2023-11-19
2,27,0,3,133296.13845100297,81867.45283802168,2023-11-26
20,55,0,3,178230.29629468,138844.60543763425,2023-12-03
28,33,1,3,99016.78306539422,97643.29066567522,2023-12-10
7,68,0,3,148822.3924562881,163485.62089484997,2023-12-17
44,86,0,2,141282.2871048582,194868.2838623571,2023-12-24
8,66,0,3,161265.3961020471,163608.1392459961,2023-12-31
35,10,1,1,131523.65355833207,46354.25692247639,2024-01-07
14,5,0,1,143426.3702164166,31318.80735282966,2024-01-14
17,74,0,2,191302.35857207532,171012.50909552712,2024-01-21
36,97,0,1,128161.78813808912,210831.47417197737,2024-01-28
40,38,0,2,69671.14496306604,96068.988212437,2024-02-04
4,13,1,2,237479.19521027105,59165.00215605003,2024-02-11
2,31,1,1,219072.70393452432,89725.39006670959,2024-02-18
6,47,0,3,85386.86524471907,117551.30866146008,2024-02-25
42,88,1,1,184485.39026225972,206401.52336920018,2024-03-03
4,52,0,1,124851.26147243285,124633.36802272224,2024-03-10
29,56,0,2,163174.36076655297,133876.70101882218,2024-03-17
18,15,0,1,164711.20645067468,51012.54266824784,2024-03-24
26,29,0,2,138279.6099841839,79304.04753750407,2024-03-31
44,8,0,3,110811.71672068018,39765.186003216884,2024-04-07
34,5,0,3,115472.94738418702,33946.41603795006,2024-04-14
10,29,0,3,104190.40422593788,81254.22904608889,2024-04-21
36,47,0,1,108408.88958847776,109910.1737354771,2024-04-28
14,68,0,2,146641.08549753224,159076.74491184021,2024-05-05
31,76,0,3,114212.00054446241,175589.3847535285,2024-05-12
15,45,0,2,184102.603285631,109346.23278427702,2024-05-19
8,2,0,2,224362.30776679638,35324.059437343145,2024-05-26
14,27,1,3,120997.33793149785,86227.40620500824,2024-06-02
23,95,0,3,161970.22502676887,216345.90980148845,2024-06-09
40,36,0,2,174984.25551514668,96786.85087523852,2024-06-16
21,36,0,3,173600.11354596372,97336.69698266305,2024-06-23
16,26,0,2,153797.76339580436,79081.33392541193,2024-06-30
45,43,0,2,187134.12091798612,115151.28343544553,2024-07-07
18,27,0,3,174112.44763403287,82019.00983819469,2024-07-14
24,69,0,1,88116.8788836351,157452.90523255244,2024-07-21
26,20,1,3,193457.80321946368,74023.46371884103,2024-07-28
25,11,0,1,194364.5418633371,42044.77621541499,2024-08-04
45,74,0,2,111835.69479107091,168768.13800162624,2024-08-11
41,38,0,2,151896.8917723801,99858.70052216292,2024-08-18
29,6,0,1,184166.44964055347,33299.227044540785,2024-08-25
15,72,0,2,139534.30902103192,166539.40889618153,2024-09-01
45,23,0,1,203648.90238830057,68999.6460043968,2024-09-08
1,47,1,1,250000.0,124338.24300426908,2024-09-15
25,90,0,2,110700.69836825089,201639.5518994075,2024-09-22
7,46,0,1,80947.76984231126,106926.17835932237,2024-09-29
9,12,0,3,165190.92978024378,49825.514190756316,2024-10-06
24,90,0,3,186078.1252563072,205734.7377314154,2024-10-13
1,13,0,2,138456.68130776155,50878.46516476048,2024-10-20
44,62,0,2,222663.03316605173,146921.85777462192,2024-10-27
8,82,0,1,83069.71001383757,183460.66618732573,2024-11-03
24,89,0,1,184645.93115158056,203004.9953521047,2024-11-10
11,97,1,1,119706.95896205533,217380.98677413753,2024-11-17
17,60,0,1,235968.89531036484,139592.17058986364,2024-11-24
8,43,1,3,249625.76765840594,121758.6672589857,2024-12-01
35,76,0,3,111667.1706108326,176454.99020796397,2024-12-08
35,68,0,2,122522.143204571,156104.9107203707,2024-12-15
33,5,0,1,192979.3943489901,31618.532929833018,2024-12-22
5,37,0,1,130643.46751052426,96592.56377325291,2024-12-29
42,72,0,2,147729.43910338808,168716.32627977288,2025-01-05
39,92,0,1,151269.42102712052,202714.34282259984,2025-01-12
41,31,0,1,54016.34219011718,74505.618770315,2025-01-19
28,9,0,1,149308.11269528815,37811.370999544866,2025-01-26
7,51,0,1,115513.6112967913,120348.76700613869,2025-02-02
9,29,0,1,125343.8588800114,78259.5913187272,2025-02-09
8,78,0,2,222181.6001734407,182038.44658353672,2025-02-16
12,40,0,1,87174.65528603719,98381.7319150256,2025-02-23
34,41,0,2,190660.25933739886,111403.32104699042,2025-03-02
33,86,0,1,136051.85348340956,193433.594719059,2025-03-09
23,11,0,3,136011.9915752083,47704.42256409887,2025-03-16
24,23,0,3,189518.59480258558,74109.62879802268,2025-03-23
37,1,0,3,167002.56472844453,28636.781968062485,2025-03-30
35,46,0,3,178530.64986097655,122287.81431795312,2025-04-06
44,21,0,2,198409.23302664305,66665.83475942955,2025-04-13
40,90,0,2,133434.58084083386,202762.17446004166,2025-04-20
22,36,0,1,119388.16327461248,91071.8039674928,2025-04-27
27,54,0,3,95742.47367211009,130783.55529798246,2025-05-04
35,87,0,2,108729.47350105224,192691.5425792844,2025-05-11
1,57,0,1,250000.0,140145.94900723532,2025-05-18
35,1,0,1,212233.97903683933,25489.691008131198,2025-05-25
37,63,0,2,82446.28168959894,147122.79502335307,2025-06-01
14,54,0,3,83877.1021628215,130126.65449526274,2025-06-08
3,55,0,1,174093.30308592456,134146.30775192234,2025-06-15
1,40,0,3,177363.23986889835,106114.61443102124,2025-06-22
5,15,0,3,177444.19176586822,61296.290156329196,2025-06-29
26,21,0,3,137252.2103223151,64367.33749645924,2025-07-06
14,47,0,1,143727.286999855,115055.90447910652,2025-07-13
39,73,0,3,166393.97620796788,174270.56017545165,2025-07-20
27,53,0,1,154294.65031466653,125123.61837985156,2025-07-27
9,9,0,3,50000.0,40348.787875722024,2025-08-03
15,74,0,1,138510.0184712403,170484.53826308233,2025-08-10
15,52,0,3,107429.67828698433,123937.84623564109,2025-08-17
26,57,0,2,158760.5709454256,138943.5181622529,2025-08-24
42,26,0,3,250000.0,78513.45835933984,2025-08-31
13,41,0,3,168374.08327371522,107487.37455663935,2025-09-07
32,35,0,1,134323.5156913801,92974.50851437089,2025-09-14
39,63,0,1,196090.0750988626,147640.93968815904,2025-09-21
32,25,0,3,174134.39436046063,75358.95978920508,2025-09-28
4,90,0,2,171004.72452259206,204154.36076816023,2025-10-05
30,75,0,2,180342.52966078356,179152.93915936627,2025-10-12
37,38,1,1,250000.0,102836.63550558795,2025-10-19
23,2,0,2,93455.57823370422,22570.159088406523,2025-10-26
39,7,0,3,173681.60384057273,44678.943558387895,2025-11-02
45,82,0,1,103680.94350092308,185899.4518621216,2025-11-09
15,91,0,3,177775.6323171124,209681.91916727507,2025-11-16
43,34,0,1,104065.67442569528,83725.17831623148,2025-11-23
29,91,0,1,129131.65931974578,205648.2699696056,2025-11-30
36,17,1,1,135245.50428810468,61951.159997903625,2025-12-07
13,43,0,1,198790.83596723544,110297.43577388625,2025-12-14
32,59,1,2,195922.7221971207,147171.3314119812,2025-12-21
7,51,0,3,87714.13117768077,125287.64787720796,2025-12-28
22,54,0,3,152746.70554999245,134316.61511540998,2026-01-04
28,24,0,3,114521.00726254136,73387.75297235823,2026-01-11
2,25,0,1,87074.75446623328,70255.74059957435,2026-01-18
42,71,0,2,139149.14747878147,166716.2914562139,2026-01-25
45,52,0,3,134575.860577209,127574.04087489092,2026-02-01
6,70,0,2,250000.0,171252.99290003907,2026-02-08
28,88,0,1,171647.99126803482,198208.66384342805,2026-02-15
28,33,0,3,81119.12496228813,90430.08783983224,2026-02-22
44,49,0,2,121761.29979145288,123021.14670812986,2026-03-01
44,29,0,1,201069.16477146992,78830.2977395464,2026-03-08
20,63,0,2,250000.0,154428.34884258706,2026-03-15
30,22,0,3,70700.83438810208,65472.132616686664,2026-03-22
11,26,0,3,56003.780743047755,70664.47018642147,2026-03-29
28,28,0,1,243548.25876858912,81870.8328936393,2026-04-05
25,85,0,1,169480.7088685452,196497.14854659612,2026-04-12
39,49,0,1,106585.36340618168,112649.11268129757,2026-04-19
33,71,0,2,176731.45430612177,166772.01149320713,2026-04-26
1,81,0,2,50000.0,181781.08587014955,2026-05-03
27,84,0,2,150168.77532985804,191754.59516980528,2026-05-10
13,49,0,1,166391.05864215427,119093.29682707622,2026-05-17
41,20,0,3,196213.50697689148,66212.24262195293,2026-05-24
3,86,1,3,99305.20238537312,201430.833605149,2026-05-31
39,92,0,2,154284.35807016795,206200.68994947654,2026-06-07
6,63,0,2,103728.76869702063,142806.59502489393,2026-06-14
8,61,0,3,162769.18778371587,151527.64383021326,2026-06-21
27,49,0,3,105232.68388184879,124178.40583377653,2026-06-28
9,71,0,2,129594.95804198897,164583.06985580162,2026-07-05
37,1,1,2,100209.23026048855,28468.610889435833,2026-07-12
33,96,0,3,182556.81209118286,222276.47662999027,2026-07-19
42,13,0,1,192922.55583283326,49094.80710519783,2026-07-26
44,94,0,2,138268.9715021293,212721.4836846291,2026-08-02
24,87,0,3,151911.89974800142,200000.63058565237,2026-08-09
15,51,0,3,77570.4292683228,127502.48894056403,2026-08-16
32,56,0,3,135016.16759966064,138392.3798318484,2026-08-23
32,83,0,3,147489.76914791277,192762.59234460737,2026-08-30
24,62,0,1,250000.0,146959.87782257595,2026-09-06
41,32,1,3,94401.64871129181,93293.99414416801,2026-09-13
12,30,0,2,223208.86193762187,85496.5332618922,2026-09-20
39,29,0,1,199842.9386732904,79715.58148060754,2026-09-27
2,49,0,3,164031.8202245068,123570.8397545931,2026-10-04
3,45,0,1,237931.02420975667,112764.08134668939,2026-10-11
37,93,0,2,168605.27363034314,214679.80648755108,2026-10-18
17,30,0,3,169457.95978339645,90135.57611314663,2026-10-25
2,16,0,2,147343.96734912274,59207.93337174466,2026-11-01
2,40,0,3,211178.44412093138,107113.13216693544,2026-11-08
28,19,0,3,204823.46169054418,67383.680584349,2026-11-15
23,18,0,3,118716.13562518937,58348.791530851275,2026-11-22
37,1,0,3,84037.64027006163,23810.492259108953,2026-11-29
32,78,0,3,139850.96813021714,180156.2944396777,2026-12-06
33,47,0,1,109998.07178011768,114979.07160188901,2026-12-13
1,66,0,3,146823.77126923224,157548.7292072581,2026-12-20
19,92,0,3,211871.90673420695,215730.35400409836,2026-12-27
2,94,0,1,127134.9172456605,208564.98764146006,2027-01-03
44,38,0,1,147858.83093442125,101000.21905093064,2027-01-10
26,51,0,1,152901.13674041975,119686.16839074154,2027-01-17
32,63,0,1,192421.54411026422,151139.5436850868,2027-01-24
6,4,0,1,50000.0,25792.881740801455,2027-01-31
32,1,0,1,119664.98526173516,19036.491587032688,2027-02-07
4,8,0,3,160564.18461397363,45042.475903645,2027-02-14
11,29,0,3,210003.94782134306,88172.48731711961,2027-02-21
17,55,0,2,125404.87762468975,131815.2913613277,2027-02-28
38,3,1,3,56172.36469790629,31160.747260951317,2027-03-07
24,32,0,3,180985.5722983068,90611.05971201697,2027-03-14
5,10,0,1,118231.88055871853,43011.21821950778,2027-03-21
34,74,0,1,90516.66704548194,165527.19899018906,2027-03-28
6,83,0,3,118782.7305143388,192503.39652877988,2027-04-04
22,34,0,2,140773.73211720752,89456.88784252528,2027-04-11
11,97,0,1,119762.76677308936,211428.4324462112,2027-04-18
16,87,1,3,50000.0,202663.9696184999,2027-04-25
33,55,0,3,194853.3098443566,136043.51306911474,2027-05-02
9,92,0,2,213743.75206393612,209856.76006738626,2027-05-09
6,32,0,2,182576.0995669753,89196.85980049323,2027-05-16
16,50,0,1,93115.71647875916,117878.53102761807,2027-05-23
29,7,0,2,139925.4233026241,36638.084595098895,2027-05-30
3,93,0,3,149673.9342385271,213275.3362741182,2027-06-06
20,8,0,3,179939.7194780955,45382.6974855404,2027-06-13
36,65,0,2,183417.02443590405,156640.12631271387,2027-06-20
19,57,0,2,113291.31006107522,133692.95788571812,2027-06-27
26,67,0,2,154099.77782067802,157136.6786951763,2027-07-04
3,88,0,2,172864.02023076205,203032.72673529197,2027-07-11
19,87,0,1,222791.11610733834,199928.85018051468,2027-07-18
20,59,0,2,185225.32699123616,140515.54744659967,2027-07-25
32,72,0,1,189452.83436877595,167175.6015191432,2027-08-01
7,54,0,3,154191.33139646804,130753.11607107377,2027-08-08
41,67,0,2,220522.9572601752,161120.0176671295,2027-08-15
33,51,0,1,170488.13979797487,127319.9410233907,2027-08-22
40,97,0,2,106945.60449132149,213451.4947900281,2027-08-29
39,92,0,3,220168.49850625952,212339.77883432983,2027-09-05
18,8,0,3,184895.1636269514,45772.81774449329,2027-09-12
40,34,0,3,127847.79894357588,90306.7869167595,2027-09-19
1,35,0,2,126025.35163003783,91035.75752173181,2027-09-26
11,96,0,2,164828.77725703808,217434.32113801542,2027-10-03
28,88,0,1,173159.23976337924,196389.39029279017,2027-10-10
25,78,1,3,159864.61328156033,187521.29068965607,2027-10-17
23,32,0,2,165565.43367214425,89766.64310423729,2027-10-24
31,46,0,3,234997.868728819,123592.98560351407,2027-10-31
30,16,0,3,203577.1576117443,61712.49467317802,2027-11-07
42,68,0,1,159531.7795632512,156298.34441962247,2027-11-14
35,37,0,1,197065.52903837417,97593.39868245661,2027-11-21
7,54,0,1,98373.80482362302,125671.22488098164,2027-11-28
16,85,1,1,169896.35249734044,197410.42884471858,2027-12-05
26,14,0,3,240465.3174866555,58029.40182409682,2027-12-12
2,95,0,1,139097.7052303813,209589.74731275998,2027-12-19
1,55,0,1,107618.30356904576,126400.99959334826,2027-12-26
12,48,0,1,117395.55557034697,114799.76255850488,2028-01-02
5,82,0,1,95518.34813288058,180153.91567938635,2028-01-09
37,7,0,3,110761.90459361483,36310.00232935675,2028-01-16
32,74,0,1,131474.59507049856,168091.0520492357,2028-01-23
9,7,0,3,79721.6490410679,37411.56200376871,2028-01-30
41,33,0,2,150780.91669748016,91104.79330477116,2028-02-06
35,23,0,3,195113.85868933235,73893.44179531641,2028-02-13
19,85,1,3,104612.19099265398,200046.71524330621,2028-02-20
16,19,0,1,225964.19618208846,63399.80495365175,2028-02-27
3,19,0,2,175539.60442637972,63666.527836982175,2028-03-05
20,36,0,2,201529.02928120288,96425.14409845586,2028-03-12
24,29,1,2,117108.27230739314,85154.14057991204,2028-03-19
33,60,1,2,192726.2613533308,151364.59365977586,2028-03-26
24,82,0,3,95403.30498023436,187784.52218282758,2028-04-02
11,2,0,2,194512.37504182543,25552.663435349103,2028-04-09
