Date,Weekly_Sales
2023-01-01,19986.52237806454
2023-01-08,24801.868296648143
2023-01-15,22595.62735319513
2023-01-22,27230.801581234664
2023-01-29,25936.503822586343
2023-02-05,27284.05914816122
2023-02-12,32130.19539667269
2023-02-19,33906.83306245622
2023-02-26,32289.982387925476
2023-03-05,16836.155325365195
2023-03-12,24874.53440733169
2023-03-19,18894.47649534198
2023-03-26,31324.16858406404
2023-04-02,27075.035290266133
2023-04-09,28763.392763222895
2023-04-16,18509.014523567952
2023-04-23,29785.10437539941
2023-04-30,14438.74402160572
2023-05-07,24945.898475302834
2023-05-14,33866.852933063295
2023-05-21,21886.04070350603
2023-05-28,22394.287714832513
2023-06-04,24685.998288561455
2023-06-11,30884.797751796053
2023-06-18,31754.774792137472
2023-06-25,33697.145116236854
2023-07-02,23924.098478620755
2023-07-09,29019.42366131864
2023-07-16,28239.04669000017
2023-07-23,31049.823016738217
2023-07-30,26416.60449872011
2023-08-06,22316.084841448235
2023-08-13,31650.670901114696
2023-08-20,28596.33527197799
2023-08-27,23960.86957139514
2023-09-03,24605.877265776762
2023-09-10,23370.63092788113
2023-09-17,23641.25233632738
2023-09-24,23292.91373046096
2023-10-01,25909.580263240365
2023-10-08,28059.208009154194
2023-10-15,22067.697056657547
2023-10-22,18821.535010714506
2023-10-29,16834.745768988927
2023-11-05,20063.468520091392
2023-11-12,16190.421867262483
2023-11-19,23126.00706485225
2023-11-26,35153.39620359521
2023-12-03,22892.307746079172
2023-12-10,26966.646389750782
2023-12-17,15326.652304893221
2023-12-24,27228.977650128105
